ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,410670,MCCLELLANDS - HIGHLAND,5010496000410,0.75,1,40,37.99,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,418038,MALBEC - LUIGI BOSCA MENDOZA 2013,7791203001231,0.75,1,13.7,19.99,0
Wine,France Wine,France Red Wine,FRANCE,419192,MONTAGNE SAINT EMILION - CHATEAU TOUR BAYARD 2010,3760193353099,0.75,1,15,27.99,0
Wine,France Wine,France Red Wine,FRANCE,44495,SANTENAY 1ER BEAUREGARD - DOMAINE JACQUES GIRARDIN 2013,890138002836,0.75,1,13,48.99,0
Wine,Sake,Japan Sake,JAPAN,450585,HAKUTSURU - AWAYUKI SPARKLING SAKE,4902650041890,0.3,1,5.5,8.99,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,45096,CABERNET SAUVIGNON - BLEASDALE MULBERRY TREE,9316475001918,0.75,1,14,15.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,456178,CARMENERE - FALERNIA RESERVA ELQUI VALLEY 2012,7809623200322,0.75,1,15,18.99,0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,483941,BOMBER BREWING - MIXED PACK CAN,691395600113,0.355,12,5.4,21.79,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,488791,MALBEC - SANTA JULIA RESERVA 2014,7791728000566,0.75,1,13.5,14.99,0
Wine,Fortified Wine,Port Wine,PORTUGAL,497677,TAYLOR FLADGATE - 1863 SINGLE HARVEST VERY OLD TAWNY,5013626114933,0.75,1,20,3650,10
Spirits,Whisky,American Whiskey,UNITED STATES OF AMERICA,499897,DRY FLY - WASHINGTON CASK STRENGTH WHEAT WHISKEY,850548004172,0.75,1,60,109.99,NA
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,512756,STEAMWORKS - IMPERIAL RED ALE,185902000751,0.65,1,8.5,5.29,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,527184,CABERNET SAUVIGNON - LIBERTY SCHOOL PASO ROBLES 2013,65789179620,0.75,1,13,21.99,0
Wine,France Wine,France Red Wine,FRANCE,531400,CHATEAU PICHON COMTESSE DE LALANDE 1995,3519349950312,1.5,1,13,850,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,535567,COPPER MOON - PINOT GRIGIO,48162013100,1.5,1,12,15.49,0
Wine,France Wine,France Champagne Wine,FRANCE,546390,LE MESNIL - BLANC DE BLANCS GRAND CRU BRUT,3700092711101,0.75,1,12,49.99,1
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,556258,SAUVIGNON BLANC - KOHA MARLBOROUGH 2014,9421902639098,0.75,1,12.5,16.99,0
